module,GO_BP_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway,9_Level_Pathway,10_Level_Pathway,11_Level_Pathway
M1_cpdb_16,GO:0140467,biological_process,"response to stimulus, cellular process, biological regulation","signal transduction, regulation of biological process, cellular response to stimulus, response to stress","cellular response to stress, regulation of cellular process, intracellular signal transduction",intracellular signaling cassette,,,,,,,
M1_cpdb_17,GO:1905168,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process, regulation of response to stimulus","positive regulation of response to stimulus, regulation of cellular response to stress, regulation of metabolic process, positive regulation of cellular process, regulation of response to stress","regulation of primary metabolic process, regulation of macromolecule metabolic process, positive regulation of metabolic process, regulation of DNA repair, positive regulation of DNA repair","regulation of DNA metabolic process, regulation of double-strand break repair, regulation of nucleobase-containing compound metabolic process, positive regulation of double-strand break repair, positive regulation of nucleobase-containing compound metabolic process, positive regulation of macromolecule metabolic process","positive regulation of DNA metabolic process, regulation of DNA recombination, regulation of double-strand break repair via homologous recombination",positive regulation of DNA recombination,,,
M1_cpdb_19,GO:0007264,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","regulation of cellular process, intracellular signal transduction",intracellular signaling cassette,,,,,,,
M1_cpdb_20,GO:0000375,biological_process,cellular process,metabolic process,primary metabolic process,RNA processing,RNA splicing,,,,,,
M1_cpdb_21,GO:0030036,biological_process,cellular process,"cellular component organization or biogenesis, actin filament-based process",cellular component organization,organelle organization,cytoskeleton organization,,,,,,
M1_cpdb_22,GO:0007186,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process",regulation of cellular process,,,,,,,,
M1_cpdb_23,GO:0006887,biological_process,"localization, cellular process","vesicle-mediated transport, establishment of localization, export from cell","secretion by cell, transport",secretion,,,,,,,
M1_cpdb_24,GO:1902893,biological_process,biological regulation,regulation of biological process,regulation of cellular process,regulation of metabolic process,"regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process","regulation of macromolecule biosynthetic process, regulation of RNA metabolic process, regulation of nucleobase-containing compound metabolic process","regulation of miRNA metabolic process, regulation of gene expression, regulation of RNA biosynthetic process",regulation of DNA-templated transcription,,,
M1_cpdb_26,GO:0006486,biological_process,cellular process,metabolic process,"glycosylation, primary metabolic process, macromolecule metabolic process","macromolecule glycosylation, macromolecule modification, protein metabolic process",protein modification process,,,,,,
M1_cpdb_27,GO:0007098,biological_process,cellular process,"cell cycle process, cellular component organization or biogenesis, microtubule-based process","cellular component organization, microtubule organizing center organization",,,,,,,,
M1_cpdb_29,GO:0120192,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"cellular component assembly, cell junction organization","cell-cell junction organization, cell junction assembly","cell-cell junction assembly, tight junction organization",,,,,
