module,REAC_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway
M1_cpdb_83,R-HSA-5617472,Developmental Biology,Activation of HOX genes during differentiation,Activation of anterior HOX genes in hindbrain development during early embryogenesis,,,,,,
M1_cpdb_85,R-HSA-8939243,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional regulation by RUNX1,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,,,,
M1_cpdb_86,R-HSA-549132,Transport of small molecules,SLC-mediated transmembrane transport,"Transport of bile salts and organic acids, metal ions and amine compounds",Organic cation/anion/zwitterion transport,,,,,
M1_cpdb_87,R-HSA-4839748,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Signaling by WNT in cancer,Signaling by AMER1 mutants,,,,,
M1_cpdb_88,R-HSA-948021,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,Transport to the Golgi and subsequent modification,,,,,
M1_cpdb_89,R-HSA-399721,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",,,,,
M1_cpdb_90,R-HSA-9675135,Disease,Diseases of DNA repair,,,,,,,
M1_cpdb_91,R-HSA-8856828,Vesicle-mediated transport,Membrane Trafficking,Clathrin-mediated endocytosis,,,,,,
M1_cpdb_92,R-HSA-434316,Metabolism,Integration of energy metabolism,Regulation of insulin secretion,Free fatty acids regulate insulin secretion,Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,,,,
M1_cpdb_94,R-HSA-112382,Gene expression (Transcription),RNA Polymerase II Transcription,RNA Polymerase II Transcription Elongation,Formation of RNA Pol II elongation complex ,,,,,
M1_cpdb_95,R-HSA-977606,Immune System,Innate Immune System,Complement cascade,Regulation of Complement cascade,,,,,
M1_cpdb_96,R-HSA-9007101,Vesicle-mediated transport,Membrane Trafficking,Rab regulation of trafficking,,,,,,
M1_cpdb_98,R-HSA-425407,Transport of small molecules,SLC-mediated transmembrane transport,,,,,,,
M1_cpdb_99,R-HSA-8951664,Metabolism of proteins,Post-translational protein modification,Neddylation,,,,,,
M1_cpdb_102,R-HSA-177243,Disease,Infectious disease,Viral Infection Pathways,HIV Infection,Host Interactions of HIV factors,Interactions of Rev with host cellular proteins,,,
M1_cpdb_103,R-HSA-5223345,Transport of small molecules,Miscellaneous transport and binding events,,,,,,,
M1_cpdb_105,R-HSA-9639288,Cellular responses to stimuli,Cellular responses to stress,Cellular response to starvation,Amino acids regulate mTORC1,,,,,
M1_cpdb_108,R-HSA-6790901,Metabolism of RNA,rRNA processing,rRNA processing in the nucleus and cytosol,rRNA modification in the nucleus and cytosol,,,,,
M1_cpdb_109,R-HSA-450294,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-17 signaling,MAP kinase activation,,,,
M1_cpdb_111,R-HSA-1296072,Neuronal System,Potassium Channels,Voltage gated Potassium channels,,,,,,
M1_cpdb_112,R-HSA-8982491,Metabolism,Metabolism of carbohydrates,Glycogen metabolism,,,,,,
M1_cpdb_114,R-HSA-432720,Vesicle-mediated transport,Membrane Trafficking,trans-Golgi Network Vesicle Budding,Lysosome Vesicle Biogenesis,,,,,
M1_cpdb_115,R-HSA-5696394,DNA Repair,Nucleotide Excision Repair,Global Genome Nucleotide Excision Repair (GG-NER),DNA Damage Recognition in GG-NER,,,,,
M1_cpdb_116,R-HSA-1474228,Extracellular matrix organization,Degradation of the extracellular matrix,,,,,,,
M1_cpdb_117,R-HSA-6811436,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Golgi-to-ER retrograde transport,COPI-independent Golgi-to-ER retrograde traffic,,,,
M1_cpdb_118,R-HSA-5669034,Immune System,Cytokine Signaling in Immune system,TNFR2 non-canonical NF-kB pathway,TNFs bind their physiological receptors,,,,,
M1_cpdb_119,R-HSA-420092,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class B/2 (Secretin family receptors),Glucagon-type ligand receptors,,,,
M1_cpdb_120,R-HSA-6783310,DNA Repair,Fanconi Anemia Pathway,,,,,,,
M1_cpdb_122,R-HSA-2142789,Metabolism,Metabolism of vitamins and cofactors,Metabolism of cofactors,Ubiquinol biosynthesis,,,,,
M1_cpdb_123,R-HSA-6783589,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-6 family signaling,,,,,
M1_cpdb_124,R-HSA-5624138,Organelle biogenesis and maintenance,Cilium Assembly,Cargo trafficking to the periciliary membrane,Trafficking of myristoylated proteins to the cilium,,,,,
M1_cpdb_125,R-HSA-912694,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon alpha/beta signaling,Regulation of IFNA/IFNB signaling,,,,
M1_cpdb_126,R-HSA-1362300,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G1 phase and G1/S transition,G0 and Early G1,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,,,,
M1_cpdb_128,R-HSA-72163,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Major Pathway,,,,,
M1_cpdb_129,R-HSA-389960,Metabolism of proteins,Protein folding,Chaperonin-mediated protein folding,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,Formation of tubulin folding intermediates by CCT/TriC,,,,
M1_cpdb_131,R-HSA-2206281,Disease,Diseases of metabolism,Diseases of carbohydrate metabolism,Mucopolysaccharidoses,,,,,
M1_cpdb_132,R-HSA-72731,Metabolism of proteins,Translation,Eukaryotic Translation Initiation,Cap-dependent Translation Initiation,Recycling of eIF2:GDP,,,,
M1_cpdb_133,R-HSA-3359473,Disease,Diseases of metabolism,Defects in vitamin and cofactor metabolism,Defects in cobalamin (B12) metabolism,Defective MMADHC causes MMAHCD,,,,
M1_cpdb_134,R-HSA-5627117,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases Activate ROCKs,,,,
M1_cpdb_137,R-HSA-8943724,Signal Transduction,Intracellular signaling by second messengers,PIP3 activates AKT signaling,PTEN Regulation,Regulation of PTEN gene transcription,,,,
M1_cpdb_138,R-HSA-5663213,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases Activate WASPs and WAVEs,,,,
M1_cpdb_139,R-HSA-166662,Immune System,Innate Immune System,Complement cascade,Initial triggering of complement,Creation of C4 and C2 activators,Lectin pathway of complement activation,,,
M1_cpdb_141,R-HSA-9754560,Disease,Infectious disease,Viral Infection Pathways,SARS-CoV Infections,SARS-CoV-2 Infection,SARS-CoV-2-host interactions,SARS-CoV-2 modulates autophagy,,
M1_cpdb_142,R-HSA-193697,Signal Transduction,Death Receptor Signaling,p75 NTR receptor-mediated signalling,p75NTR regulates axonogenesis,,,,,
M1_cpdb_144,R-HSA-500792,Signal Transduction,Signaling by GPCR,GPCR ligand binding,,,,,,
M1_cpdb_145,R-HSA-73980,Gene expression (Transcription),RNA Polymerase III Transcription,RNA Polymerase III Transcription Termination,,,,,,
M1_cpdb_146,R-HSA-3108214,Metabolism of proteins,Post-translational protein modification,SUMOylation,SUMO E3 ligases SUMOylate target proteins,SUMOylation of DNA damage response and repair proteins,,,,
M1_cpdb_148,R-HSA-9603798,Protein localization,Class I peroxisomal membrane protein import,,,,,,,
M1_cpdb_149,R-HSA-5620924,Organelle biogenesis and maintenance,Cilium Assembly,Intraflagellar transport,,,,,,
M1_cpdb_150,R-HSA-5620924,Organelle biogenesis and maintenance,Cilium Assembly,Intraflagellar transport,,,,,,
M1_cpdb_153,R-HSA-3928664,Developmental Biology,Nervous system development,Axon guidance,EPH-Ephrin signaling,Ephrin signaling,,,,
M1_cpdb_156,R-HSA-5679096,Disease,Disorders of transmembrane transporters,ABC transporter disorders,Defective ABCG5 causes sitosterolemia,,,,,
M1_cpdb_157,R-HSA-75158,Signal Transduction,Death Receptor Signaling,TRAIL  signaling,,,,,,
M1_cpdb_158,R-HSA-392517,Immune System,Adaptive Immune System,Rap1 signalling,,,,,,
M1_cpdb_159,R-HSA-5625970,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases activate KTN1,,,,
M1_cpdb_160,R-HSA-5620922,Organelle biogenesis and maintenance,Cilium Assembly,Cargo trafficking to the periciliary membrane,BBSome-mediated cargo-targeting to cilium,,,,,
M1_cpdb_161,R-HSA-9020933,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-12 family signaling,Interleukin-23 signaling,,,,
M1_cpdb_162,R-HSA-3299685,Cellular responses to stimuli,Cellular responses to stress,Cellular response to chemical stress,Detoxification of Reactive Oxygen Species,,,,,
M1_cpdb_163,R-HSA-71403,Metabolism,Aerobic respiration and respiratory electron transport,Citric acid cycle (TCA cycle),,,,,,
M1_cpdb_165,R-HSA-167161,Disease,Infectious disease,Viral Infection Pathways,HIV Infection,HIV Life Cycle,Late Phase of HIV Life Cycle,Transcription of the HIV genome,HIV Transcription Initiation,
M1_cpdb_166,R-HSA-9013408,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,RHOG GTPase cycle,,,,
M1_cpdb_167,R-HSA-375276,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,,,,
M1_cpdb_168,R-HSA-418555,Signal Transduction,Signaling by GPCR,GPCR downstream signalling,G alpha (s) signalling events,,,,,
M1_cpdb_169,R-HSA-375281,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Hormone ligand-binding receptors,,,,
M1_cpdb_170,R-HSA-9662361,Sensory Perception,Sensory processing of sound,Sensory processing of sound by outer hair cells of the cochlea,,,,,,
M1_cpdb_174,R-HSA-373755,Developmental Biology,Nervous system development,Axon guidance,Semaphorin interactions,,,,,
M1_cpdb_175,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
M1_cpdb_176,R-HSA-8866907,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,Activation of the TFAP2 (AP-2) family of transcription factors,,,,
M1_cpdb_177,R-HSA-5357786,Signal Transduction,Death Receptor Signaling,TNF signaling,TNFR1-induced proapoptotic signaling,,,,,
M1_cpdb_178,R-HSA-6799198,Metabolism,Aerobic respiration and respiratory electron transport,Respiratory electron transport,Complex I biogenesis,,,,,
M1_cpdb_179,R-HSA-70263,Metabolism,Metabolism of carbohydrates,Glucose metabolism,Gluconeogenesis,,,,,
M1_cpdb_181,R-HSA-162791,Metabolism of proteins,Post-translational protein modification,Post-translational modification: synthesis of GPI-anchored proteins,Attachment of GPI anchor to uPAR,,,,,
M1_cpdb_185,R-HSA-446388,Cell-Cell communication,Cell junction organization,Cell-extracellular matrix interactions,Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,,,,,
M1_cpdb_187,R-HSA-5693554,DNA Repair,DNA Double-Strand Break Repair,Homology Directed Repair,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),HDR through Homologous Recombination (HRR),Resolution of D-Loop Structures,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),,
M1_cpdb_189,R-HSA-525793,Developmental Biology,Myogenesis,,,,,,,
M1_cpdb_190,R-HSA-5668599,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases Activate NADPH Oxidases,,,,
M1_cpdb_191,R-HSA-426486,Gene expression (Transcription),Gene Silencing by RNA,Small interfering RNA (siRNA) biogenesis,,,,,,
M1_cpdb_192,R-HSA-110313,DNA Repair,DNA Damage Bypass,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,,,,,,
M1_cpdb_195,R-HSA-391908,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Eicosanoid ligand-binding receptors,Prostanoid ligand receptors,,,
M1_cpdb_197,R-HSA-72163,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Major Pathway,,,,,
M1_cpdb_198,R-HSA-9033241,Protein localization,Peroxisomal protein import,,,,,,,
M1_cpdb_199,R-HSA-180024,Signal Transduction,Signaling by GPCR,GPCR downstream signalling,G alpha (i) signalling events,Opioid Signalling,DARPP-32 events,,,
M1_cpdb_201,R-HSA-9687136,Disease,Diseases of mitotic cell cycle,Aberrant regulation of mitotic cell cycle due to RB1 defects,Aberrant regulation of mitotic exit in cancer due to RB1 defects,,,,,
M1_cpdb_203,R-HSA-162710,Metabolism of proteins,Post-translational protein modification,Post-translational modification: synthesis of GPI-anchored proteins,Synthesis of glycosylphosphatidylinositol (GPI),,,,,
M1_cpdb_204,R-HSA-3214847,Chromatin organization,Chromatin modifying enzymes,HATs acetylate histones,,,,,,
M1_cpdb_205,R-HSA-141333,Metabolism,Biological oxidations,Phase I - Functionalization of compounds,Amine Oxidase reactions,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,,,,
M1_cpdb_206,R-HSA-1296072,Neuronal System,Potassium Channels,Voltage gated Potassium channels,,,,,,
M1_cpdb_207,R-HSA-1234176,Cellular responses to stimuli,Cellular responses to stress,Cellular response to hypoxia,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,,,,,
M1_cpdb_210,R-HSA-390522,Muscle contraction,Striated Muscle Contraction,,,,,,,
M1_cpdb_211,R-HSA-397014,Muscle contraction,,,,,,,,
M1_cpdb_212,R-HSA-5689901,Metabolism of proteins,Post-translational protein modification,Deubiquitination,Metalloprotease DUBs,,,,,
M1_cpdb_213,R-HSA-71336,Metabolism,Metabolism of carbohydrates,Pentose phosphate pathway,,,,,,
M1_cpdb_214,R-HSA-1566977,Extracellular matrix organization,Fibronectin matrix formation,,,,,,,
M1_cpdb_217,R-HSA-432047,Transport of small molecules,Aquaporin-mediated transport,Passive transport by Aquaporins,,,,,,
M1_cpdb_218,R-HSA-3214847,Chromatin organization,Chromatin modifying enzymes,HATs acetylate histones,,,,,,
M1_cpdb_219,R-HSA-8964315,Signal Transduction,Signaling by GPCR,GPCR downstream signalling,G-protein beta:gamma signalling,G beta:gamma signalling through BTK,,,,
M1_cpdb_220,R-HSA-1980145,Signal Transduction,Signaling by NOTCH,Signaling by NOTCH2,,,,,,
M1_cpdb_221,R-HSA-77595,Metabolism of RNA,Processing of Capped Intronless Pre-mRNA,Processing of Intronless Pre-mRNAs,,,,,,
M1_cpdb_224,R-HSA-2161517,Drug ADME,Abacavir ADME,Abacavir transmembrane transport,,,,,,
M1_cpdb_225,R-HSA-418555,Signal Transduction,Signaling by GPCR,GPCR downstream signalling,G alpha (s) signalling events,,,,,
M1_cpdb_229,R-HSA-2172127,Immune System,Innate Immune System,DAP12 interactions,,,,,,
M1_cpdb_230,R-HSA-112308,Neuronal System,Transmission across Chemical Synapses,Presynaptic depolarization and calcium channel opening,,,,,,
M1_cpdb_233,R-HSA-72165,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Minor Pathway,,,,,
M1_cpdb_234,R-HSA-72702,Metabolism of proteins,Translation,Eukaryotic Translation Initiation,Cap-dependent Translation Initiation,Ribosomal scanning and start codon recognition,,,,
M1_cpdb_250,R-HSA-1296041,Neuronal System,Potassium Channels,Inwardly rectifying K+ channels,G protein gated Potassium channels,Activation of G protein gated Potassium channels,,,,
M1_cpdb_251,R-HSA-9013149,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,RAC1 GTPase cycle,,,,
M1_cpdb_252,R-HSA-390696,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Amine ligand-binding receptors,Adrenoceptors,,,
M1_cpdb_253,R-HSA-111447,Programmed Cell Death,Apoptosis,Intrinsic Pathway for Apoptosis,Activation of BH3-only proteins,Activation of BAD and translocation to mitochondria ,,,,
M1_cpdb_254,R-HSA-1362409,Metabolism,Mitochondrial iron-sulfur cluster biogenesis,,,,,,,
M1_cpdb_255,R-HSA-202430,Immune System,Adaptive Immune System,TCR signaling,Translocation of ZAP-70 to Immunological synapse,,,,,
M1_cpdb_256,R-HSA-8856825,Vesicle-mediated transport,Membrane Trafficking,Clathrin-mediated endocytosis,Cargo recognition for clathrin-mediated endocytosis,,,,,
M1_cpdb_257,R-HSA-5620924,Organelle biogenesis and maintenance,Cilium Assembly,Intraflagellar transport,,,,,,
M1_cpdb_260,R-HSA-156590,Metabolism,Biological oxidations,Phase II - Conjugation of compounds,Glutathione conjugation,,,,,
M1_cpdb_261,R-HSA-163560,Metabolism,Metabolism of lipids,Triglyceride metabolism,Triglyceride catabolism,,,,,
